k,method,hits_at_k,queries,recall_at_k,mrr_at_k,avg_candidate_pool_size,total_ce_pair_count,avg_ce_pair_count,pair_savings_percent_vs_static_same_k,ce_time_savings_percent_vs_static_same_k
5,Vector-only,271,315,0.8603174603174604,0.7416931216931216,,,,0.0,0.0
5,Vector + Cross-Encoder,271,315,0.8603174603174604,0.7084656084656085,,1575,5.0,0.0,0.0
5,AST-KG + Cross-Encoder static-K,263,315,0.834920634920635,0.6874603174603175,59.49523809523809,20316,64.4952380952381,0.0,0.0
5,AST-KG + Staged Confidence,264,315,0.8380952380952381,0.6941798941798941,21.434920634920633,8327,26.434920634920633,59.01260090569009,58.3
10,Vector-only,286,315,0.9079365079365079,0.7477500629881582,,,,0.0,0.0
10,Vector + Cross-Encoder,286,315,0.9079365079365079,0.7054106827916352,,3150,10.0,0.0,0.0
10,AST-KG + Cross-Encoder static-K,284,315,0.9015873015873016,0.6965444696397077,92.15873015873017,29913,94.96190476190476,0.0,0.0
10,AST-KG + Staged Confidence,286,315,0.9079365079365079,0.7035336356764929,26.11111111111111,11375,36.111111111111114,61.973055193394174,62.7
15,Vector-only,296,315,0.9396825396825397,0.7502932869599536,,,,0.0,0.0
15,Vector + Cross-Encoder,296,315,0.9396825396825397,0.7026214085737895,,4725,15.0,0.0,0.0
15,AST-KG + Cross-Encoder static-K,291,315,0.9238095238095239,0.7017041864660912,122.79047619047618,33817,107.35555555555555,0.0,0.0
15,AST-KG + Staged Confidence,294,315,0.9333333333333333,0.701230859088002,29.295238095238094,13953,44.2952380952381,58.739687139604335,56.3
20,Vector-only,301,315,0.9555555555555556,0.7511943140374513,,,,0.0,0.0
20,Vector + Cross-Encoder,301,315,0.9555555555555556,0.6974876669679855,,6300,20.0,0.0,0.0
20,AST-KG + Cross-Encoder static-K,298,315,0.946031746031746,0.7045628855012609,154.73333333333332,34135,108.36507936507937,0.0,0.0
20,AST-KG + Staged Confidence,301,315,0.9555555555555556,0.6971882281723061,32.19047619047619,16440,52.19047619047619,51.83828914603779,53.4
