method,k,queries,hits,recall,mrr,target_balanced_recall,target_balanced_mrr
Vector-only,5,21,15,0.7142857142857143,0.5992063492063492,0.8071428571428572,0.6912698412698413
Vector-only,10,21,18,0.8571428571428571,0.6203703703703705,0.9142857142857143,0.7075396825396825
Vector-only,15,21,19,0.9047619047619048,0.6246993746993746,0.9428571428571428,0.7101370851370852
Vector-only,20,21,21,1.0,0.6300565175565176,1.0,0.7133513708513709
Vector + CE,5,21,15,0.7142857142857143,0.634920634920635,0.8071428571428572,0.7297619047619047
Vector + CE,10,21,18,0.8571428571428571,0.6438397581254724,0.9142857142857143,0.7359070294784581
Vector + CE,15,21,19,0.9047619047619048,0.6372230943659515,0.9428571428571428,0.7287624280481423
Vector + CE,20,21,21,1.0,0.6370697986797058,1.0,0.726765688731633
AST-KG static,5,21,15,0.7142857142857143,0.6309523809523809,0.8285714285714286,0.7285714285714285
AST-KG static,10,21,15,0.7142857142857143,0.6206349206349207,0.8285714285714286,0.7169047619047619
AST-KG static,15,21,15,0.7142857142857143,0.6206349206349207,0.8285714285714286,0.7169047619047619
AST-KG static,20,21,16,0.7619047619047619,0.6285714285714286,0.8571428571428571,0.7216666666666667
AST-KG staged,5,21,16,0.7619047619047619,0.6468253968253969,0.8571428571428571,0.7380952380952381
AST-KG staged,10,21,17,0.8095238095238095,0.6327286470143614,0.8857142857142858,0.7241609977324263
AST-KG staged,15,21,18,0.8571428571428571,0.6311791383219955,0.9142857142857143,0.7232312925170068
AST-KG staged,20,21,21,1.0,0.6370697986797058,1.0,0.726765688731633
ColBERTv2-only,5,21,14,0.6666666666666666,0.5952380952380952,0.7619047619047619,0.6976190476190476
ColBERTv2-only,10,21,15,0.7142857142857143,0.6020408163265306,0.8285714285714286,0.7071428571428571
ColBERTv2-only,15,21,15,0.7142857142857143,0.6020408163265306,0.8285714285714286,0.7071428571428571
ColBERTv2-only,20,21,16,0.7619047619047619,0.6050170068027211,0.8571428571428571,0.7089285714285715
HippoRAG (ensemble off),5,21,0,0.0,0.0,0.0,0.0
HippoRAG (ensemble off),10,21,1,0.047619047619047616,0.004761904761904762,0.2,0.02
HippoRAG (ensemble off),15,21,2,0.09523809523809523,0.008424908424908426,0.22857142857142856,0.0221978021978022
HippoRAG (ensemble off),20,21,5,0.23809523809523808,0.015943705417389625,0.32857142857142857,0.02746096009253904
HippoRAG + doc ensemble [POST-HOC],5,21,2,0.09523809523809523,0.023809523809523808,0.09523809523809523,0.023809523809523808
HippoRAG + doc ensemble [POST-HOC],10,21,4,0.19047619047619047,0.0365079365079365,0.3238095238095238,0.04857142857142857
HippoRAG + doc ensemble [POST-HOC],15,21,5,0.23809523809523808,0.04047619047619048,0.3904761904761905,0.05412698412698412
HippoRAG + doc ensemble [POST-HOC],20,21,8,0.38095238095238093,0.047994987468671674,0.4904761904761905,0.05939014202172097
