artifact_name,path,sha256_before,sha256_after,size_bytes,identical
benchmark_315_final,scripts/benchMarkScript/benchmark_incident_v2_plus_v3_plus_jira_flat_ast_cleaned_proposed.json,21c9c668a34711e311a30ec38b57d2ca5b78c829fbcb3743ee69d30f3d49a543,21c9c668a34711e311a30ec38b57d2ca5b78c829fbcb3743ee69d30f3d49a543,98935,TRUE
benchmark_ast_audit_report,scripts/benchMarkScript/benchmark_ast_revised_audit_report.json,5e798bc5dc6c94b4afa8699abbb51fd07c032d46bfeebc5aed54e9e963b246a0,5e798bc5dc6c94b4afa8699abbb51fd07c032d46bfeebc5aed54e9e963b246a0,1939,TRUE
corpus_generator_embed_script,scripts/embed_logs_to_qdrant.py,ed6199c5c6c9db3527b78bf4047fe070ae3530f662c3170d77de965bfb26c37c,ed6199c5c6c9db3527b78bf4047fe070ae3530f662c3170d77de965bfb26c37c,5678,TRUE
corpus_serialization_eval_script,scripts/eval_kg_vs_vector.py,f5ee162c1fc17fdc68d767c6b5de441debaa7085eb9e1f4cb6f2a4cdc86e3a80,f5ee162c1fc17fdc68d767c6b5de441debaa7085eb9e1f4cb6f2a4cdc86e3a80,36450,TRUE
primary_per_query_vector_only,scripts/results_ast_315_paper_config/per_query/vector_only.json,60f7404038c7944ada71741678ebde6467dfd9736d58435438988a450da615b7,60f7404038c7944ada71741678ebde6467dfd9736d58435438988a450da615b7,323526,TRUE
primary_per_query_vector_crossencoder,scripts/results_ast_315_paper_config/per_query/vector_crossencoder.json,9fd0b4eda09599fea5b8aeca0f10a06f1c013033a6cd605db2b0ee37aed13c91,9fd0b4eda09599fea5b8aeca0f10a06f1c013033a6cd605db2b0ee37aed13c91,326148,TRUE
primary_per_query_kg_static_k,scripts/results_ast_315_paper_config/per_query/kg_crossencoder_static_k.json,8df27bc0337a4cb248f37afb74fddcbe6633ce10ea3a9ab26ef8ac0ef98936ef,8df27bc0337a4cb248f37afb74fddcbe6633ce10ea3a9ab26ef8ac0ef98936ef,326609,TRUE
primary_per_query_kg_staged,scripts/results_ast_315_paper_config/per_query/kg_crossencoder_stagedconfidence.json,4b0d04da840207989b1433317cd01e156e34624a997fc4c6ff6c9af05c3691db,4b0d04da840207989b1433317cd01e156e34624a997fc4c6ff6c9af05c3691db,328566,TRUE
primary_corrected_results_table,scripts/results_ast_315_paper_config/corrected_metrics/results_table.csv,c16324aa9152a9cf8b873fd3bd4ac2457cafaa8c516a4073a7afb990e91f2626,c16324aa9152a9cf8b873fd3bd4ac2457cafaa8c516a4073a7afb990e91f2626,381,TRUE
primary_corrected_results_summary,scripts/results_ast_315_paper_config/corrected_metrics/results_summary.json,6e8b33c739b8cbaac9e58d1b3d32e5519d4492923f15f760650c4bded2a0c5da,6e8b33c739b8cbaac9e58d1b3d32e5519d4492923f15f760650c4bded2a0c5da,3638,TRUE
stats_per_query_results_csv,scripts/results_ast_315_paper_config/statistical_analysis/per_query_results.csv,003ea345d7d5bc983547a9d13717b6ad24f5c1c1ef1bd8298a250f1995a2be54,003ea345d7d5bc983547a9d13717b6ad24f5c1c1ef1bd8298a250f1995a2be54,325813,TRUE
stats_paired_mcnemar,scripts/results_ast_315_paper_config/statistical_analysis/paired_mcnemar.csv,7243686402b0ac173cb3c5c5aeb0f895a08d18b83127b1201eb48a88269676a0,7243686402b0ac173cb3c5c5aeb0f895a08d18b83127b1201eb48a88269676a0,430,TRUE
stats_cluster_bootstrap_cis,scripts/results_ast_315_paper_config/statistical_analysis/cluster_bootstrap_cis.csv,ffc985f14a1c2cb5ac63fd358314ce0683d2cf9b487c0310a05ec8ce9ad37f43,ffc985f14a1c2cb5ac63fd358314ce0683d2cf9b487c0310a05ec8ce9ad37f43,2256,TRUE
stats_target_balanced_metrics,scripts/results_ast_315_paper_config/statistical_analysis/target_balanced_metrics.csv,324b35acb77a2a804f8bfb990a14769b2108394d43c3c123c6af3511241daf29,324b35acb77a2a804f8bfb990a14769b2108394d43c3c123c6af3511241daf29,595,TRUE
stats_target_level_metrics,scripts/results_ast_315_paper_config/statistical_analysis/target_level_metrics.csv,00c3c56ce33bf015c55ec7bf29becfbad4d74cc9911758736590594a2b8c27d7,00c3c56ce33bf015c55ec7bf29becfbad4d74cc9911758736590594a2b8c27d7,47413,TRUE
stats_statistical_analysis_json,scripts/results_ast_315_paper_config/statistical_analysis/statistical_analysis.json,282b09ebf492189bb11b1386ee1bff6cf54ea2d763fb1ccf040d51c731fb521d,282b09ebf492189bb11b1386ee1bff6cf54ea2d763fb1ccf040d51c731fb521d,41497,TRUE
k_sensitivity_experiment_config,results/ast_k_sensitivity_v1/experiment_config.json,9877f4ec78f39f9def8434ef9804f75d594fc36ed974097efa50a3c796bc3848,9877f4ec78f39f9def8434ef9804f75d594fc36ed974097efa50a3c796bc3848,6899,TRUE
k_sensitivity_results_csv,results/ast_k_sensitivity_v1/k_sensitivity_results.csv,c82c34b23ee612ca975c0c6412e3b18b800b3ed2f1f931c0cd8c9219de8f9aee,c82c34b23ee612ca975c0c6412e3b18b800b3ed2f1f931c0cd8c9219de8f9aee,1945,TRUE
k_sensitivity_results_json,results/ast_k_sensitivity_v1/k_sensitivity_results.json,db97115bdca98a03d272d23c2e904443fc148549fa34226e69194d34295de4a2,db97115bdca98a03d272d23c2e904443fc148549fa34226e69194d34295de4a2,9929,TRUE
k_sensitivity_paired_tests,results/ast_k_sensitivity_v1/paired_tests.json,456ba7f7a113ce88e77deade684cf82bd0f3c2c9995cd10688733e0b6a4caf80,456ba7f7a113ce88e77deade684cf82bd0f3c2c9995cd10688733e0b6a4caf80,3941,TRUE
k_sensitivity_target_balanced,results/ast_k_sensitivity_v1/target_balanced_results.json,30d4bd7a472d0191b6862109d76b57fa9791995b93f6f43bc261ca41a2eba524,30d4bd7a472d0191b6862109d76b57fa9791995b93f6f43bc261ca41a2eba524,7873,TRUE
eval_code_mcnemar_bootstrap_primary,scripts/analyze_ast_retrieval_statistics.py,44587af646ff4eb4a99bd58d416df9ff163ba82be9710114997141e0082b9690,44587af646ff4eb4a99bd58d416df9ff163ba82be9710114997141e0082b9690,21008,TRUE
eval_code_mcnemar_bootstrap_ksens,scripts/analyze_ast_k_sensitivity.py,bc557b8156953e0a6f6d838a3d67e6636c5217245a343dba540eff6b9b858b67,bc557b8156953e0a6f6d838a3d67e6636c5217245a343dba540eff6b9b858b67,29845,TRUE
