query_id,canonical_target,gold_file,gold_line,gold_rank,hit@5,hit@10,hit@15,hit@20,rr@5,rr@10,rr@15,rr@20
L001-Q1,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java:2055,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,2055,8,False,True,True,True,0.0,0.125,0.125,0.125
L001-Q2,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java:2055,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,2055,86,False,False,False,False,0.0,0.0,0.0,0.0
L001-Q3,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java:2055,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,2055,47,False,False,False,False,0.0,0.0,0.0,0.0
L002-Q1,core/src/main/scala/kafka/server/ReplicaManager.scala:2392,core/src/main/scala/kafka/server/ReplicaManager.scala,2392,12,False,False,True,True,0.0,0.0,0.08333333333333333,0.08333333333333333
L002-Q2,core/src/main/scala/kafka/server/ReplicaManager.scala:2392,core/src/main/scala/kafka/server/ReplicaManager.scala,2392,2,True,True,True,True,0.5,0.5,0.5,0.5
L002-Q3,core/src/main/scala/kafka/server/ReplicaManager.scala:2392,core/src/main/scala/kafka/server/ReplicaManager.scala,2392,1,True,True,True,True,1.0,1.0,1.0,1.0
L003-Q1,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java:1266,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,1266,22,False,False,False,False,0.0,0.0,0.0,0.0
L003-Q2,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java:1266,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,1266,7,False,True,True,True,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
L003-Q3,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java:1266,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,1266,10,False,True,True,True,0.0,0.1,0.1,0.1
L004-Q1,metadata/src/main/java/org/apache/kafka/controller/BrokerHeartbeatManager.java:455,metadata/src/main/java/org/apache/kafka/controller/BrokerHeartbeatManager.java,455,1,True,True,True,True,1.0,1.0,1.0,1.0
L004-Q2,metadata/src/main/java/org/apache/kafka/controller/BrokerHeartbeatManager.java:455,metadata/src/main/java/org/apache/kafka/controller/BrokerHeartbeatManager.java,455,25,False,False,False,False,0.0,0.0,0.0,0.0
L004-Q3,metadata/src/main/java/org/apache/kafka/controller/BrokerHeartbeatManager.java:455,metadata/src/main/java/org/apache/kafka/controller/BrokerHeartbeatManager.java,455,1,True,True,True,True,1.0,1.0,1.0,1.0
L005-Q1,core/src/main/scala/kafka/server/ReplicaManager.scala:1407,core/src/main/scala/kafka/server/ReplicaManager.scala,1407,2,True,True,True,True,0.5,0.5,0.5,0.5
L005-Q2,core/src/main/scala/kafka/server/ReplicaManager.scala:1407,core/src/main/scala/kafka/server/ReplicaManager.scala,1407,41,False,False,False,False,0.0,0.0,0.0,0.0
L005-Q3,core/src/main/scala/kafka/server/ReplicaManager.scala:1407,core/src/main/scala/kafka/server/ReplicaManager.scala,1407,1,True,True,True,True,1.0,1.0,1.0,1.0
L006-Q1,metadata/src/main/java/org/apache/kafka/controller/PartitionChangeBuilder.java:450,metadata/src/main/java/org/apache/kafka/controller/PartitionChangeBuilder.java,450,1,True,True,True,True,1.0,1.0,1.0,1.0
L006-Q2,metadata/src/main/java/org/apache/kafka/controller/PartitionChangeBuilder.java:450,metadata/src/main/java/org/apache/kafka/controller/PartitionChangeBuilder.java,450,65,False,False,False,False,0.0,0.0,0.0,0.0
L006-Q3,metadata/src/main/java/org/apache/kafka/controller/PartitionChangeBuilder.java:450,metadata/src/main/java/org/apache/kafka/controller/PartitionChangeBuilder.java,450,1,True,True,True,True,1.0,1.0,1.0,1.0
L007-Q1,core/src/main/scala/kafka/server/BrokerLifecycleManager.scala:417,core/src/main/scala/kafka/server/BrokerLifecycleManager.scala,417,1,True,True,True,True,1.0,1.0,1.0,1.0
L007-Q2,core/src/main/scala/kafka/server/BrokerLifecycleManager.scala:417,core/src/main/scala/kafka/server/BrokerLifecycleManager.scala,417,1,True,True,True,True,1.0,1.0,1.0,1.0
L007-Q3,core/src/main/scala/kafka/server/BrokerLifecycleManager.scala:417,core/src/main/scala/kafka/server/BrokerLifecycleManager.scala,417,1,True,True,True,True,1.0,1.0,1.0,1.0
L008-Q1,core/src/main/scala/kafka/server/AbstractFetcherThread.scala:456,core/src/main/scala/kafka/server/AbstractFetcherThread.scala,456,1,True,True,True,True,1.0,1.0,1.0,1.0
