artifact,sha256,size_bytes,row_count
aggregate_metrics.csv,1c9eb1d7a4505f82fbc27d600f5658fb5cc8fef5897e58da7dcd16a34470f007,780,7
comparison.json,b1a4600ed9591c180823021257e976e713eacaddab2fe5aca3c6a4adbd7a8999,7441,
concentration_diagnostics.csv,3cc3853ea041a7a50a14bfc29648a5868d6ef2d808cfa2a4113eb4a80bc72698,239,3
config.json,d5cd5867938c2a2aec06cfdbef4aa8ff0a27038aa741560fd4122e7a2bab04d7,793,
k_sensitivity.csv,8bf35e1b7230bb55c2cefafc9662bcddd800c4f63f918ad0bfc139101a1679ab,344,4
k_sensitivity_comparison.csv,63335f0c17778f4eac24d335a6b8f54fe3b47f3698fab25b4ca1eff7b770ff7d,915,12
manuscript_recommendation.md,b71543efeea16f5e6199a363bd624f324f07479c06ea3d5faa8d27ae3dbf0a99,5413,
paired_statistics.csv,cc00b3b047eeb1264ab41acec5c2e8e58e921394020a71d1de9f7e7479bfd14c,1384,5
per_query.csv,06cae28af8219bd5d7f2475be36ad1feb18f10b2822d199ed77916c932924a3a,63866,315
per_query.jsonl,f430325f0dc797486172d67f323144edb66d5b9779a151e420ee7ed0918c3016,1122195,315
pre_run_verification.md,2414287613722889569404fdd731092330d6fcf1c54e907ba3b2d5f1e2fa1881,3962,
reused_inputs_before.csv,5f1147b15e3052a7eeb928ad9d99492b87b62ad9e130ca43526d3770fd439d78,3951,21
run.log,22d909e37c81733b3e41f5146a871145ffcddc158ca816b1e3e7543bd3bc8d78,115163,
