method,k,queries,hits,recall,mrr
ColBERTv2-only,5,315,210,0.6666666666666666,0.5375661375661376
ColBERTv2-only,10,315,236,0.7492063492063492,0.548114134542706
ColBERTv2-only,15,315,248,0.7873015873015873,0.5510891489462918
ColBERTv2-only,20,315,253,0.8031746031746032,0.5519974381879144
HippoRAG doc_ensemble=false,5,315,60,0.19047619047619047,0.09894179894179894
HippoRAG doc_ensemble=false,10,315,77,0.24444444444444444,0.10577475434618291
HippoRAG doc_ensemble=false,15,315,86,0.273015873015873,0.10790706647849505
HippoRAG doc_ensemble=false,20,315,97,0.30793650793650795,0.10986158512806013
HippoRAG doc_ensemble=true,5,315,130,0.4126984126984127,0.1944973544973545
HippoRAG doc_ensemble=true,10,315,168,0.5333333333333333,0.21112622826908542
HippoRAG doc_ensemble=true,15,315,188,0.5968253968253968,0.21619253762110904
HippoRAG doc_ensemble=true,20,315,204,0.6476190476190476,0.21901234585629395
