query_id,canonical_target,gold_file,gold_line,gold_rank,num_query_entities,hit@5,hit@10,hit@15,hit@20,rr@5,rr@10,rr@15,rr@20
L001-Q1,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java:2055,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,2055,579,1,False,False,False,False,0.0,0.0,0.0,0.0
L001-Q2,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java:2055,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,2055,90,1,False,False,False,False,0.0,0.0,0.0,0.0
L001-Q3,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java:2055,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,2055,51,4,False,False,False,False,0.0,0.0,0.0,0.0
L002-Q1,core/src/main/scala/kafka/server/ReplicaManager.scala:2392,core/src/main/scala/kafka/server/ReplicaManager.scala,2392,1,2,True,True,True,True,1.0,1.0,1.0,1.0
L002-Q2,core/src/main/scala/kafka/server/ReplicaManager.scala:2392,core/src/main/scala/kafka/server/ReplicaManager.scala,2392,1,2,True,True,True,True,1.0,1.0,1.0,1.0
L002-Q3,core/src/main/scala/kafka/server/ReplicaManager.scala:2392,core/src/main/scala/kafka/server/ReplicaManager.scala,2392,7,4,False,True,True,True,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
L003-Q1,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java:1266,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,1266,17,5,False,False,False,True,0.0,0.0,0.0,0.058823529411764705
L003-Q2,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java:1266,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,1266,2,4,True,True,True,True,0.5,0.5,0.5,0.5
L003-Q3,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java:1266,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,1266,6,3,False,True,True,True,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
L004-Q1,metadata/src/main/java/org/apache/kafka/controller/BrokerHeartbeatManager.java:455,metadata/src/main/java/org/apache/kafka/controller/BrokerHeartbeatManager.java,455,1,3,True,True,True,True,1.0,1.0,1.0,1.0
L004-Q2,metadata/src/main/java/org/apache/kafka/controller/BrokerHeartbeatManager.java:455,metadata/src/main/java/org/apache/kafka/controller/BrokerHeartbeatManager.java,455,15,1,False,False,True,True,0.0,0.0,0.06666666666666667,0.06666666666666667
L004-Q3,metadata/src/main/java/org/apache/kafka/controller/BrokerHeartbeatManager.java:455,metadata/src/main/java/org/apache/kafka/controller/BrokerHeartbeatManager.java,455,15,1,False,False,True,True,0.0,0.0,0.06666666666666667,0.06666666666666667
L005-Q1,core/src/main/scala/kafka/server/ReplicaManager.scala:1407,core/src/main/scala/kafka/server/ReplicaManager.scala,1407,9,2,False,True,True,True,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
L005-Q2,core/src/main/scala/kafka/server/ReplicaManager.scala:1407,core/src/main/scala/kafka/server/ReplicaManager.scala,1407,211,1,False,False,False,False,0.0,0.0,0.0,0.0
L005-Q3,core/src/main/scala/kafka/server/ReplicaManager.scala:1407,core/src/main/scala/kafka/server/ReplicaManager.scala,1407,6,5,False,True,True,True,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
L006-Q1,metadata/src/main/java/org/apache/kafka/controller/PartitionChangeBuilder.java:450,metadata/src/main/java/org/apache/kafka/controller/PartitionChangeBuilder.java,450,5,3,True,True,True,True,0.2,0.2,0.2,0.2
L006-Q2,metadata/src/main/java/org/apache/kafka/controller/PartitionChangeBuilder.java:450,metadata/src/main/java/org/apache/kafka/controller/PartitionChangeBuilder.java,450,159,3,False,False,False,False,0.0,0.0,0.0,0.0
L006-Q3,metadata/src/main/java/org/apache/kafka/controller/PartitionChangeBuilder.java:450,metadata/src/main/java/org/apache/kafka/controller/PartitionChangeBuilder.java,450,67,2,False,False,False,False,0.0,0.0,0.0,0.0
L007-Q1,core/src/main/scala/kafka/server/BrokerLifecycleManager.scala:417,core/src/main/scala/kafka/server/BrokerLifecycleManager.scala,417,2,3,True,True,True,True,0.5,0.5,0.5,0.5
L007-Q2,core/src/main/scala/kafka/server/BrokerLifecycleManager.scala:417,core/src/main/scala/kafka/server/BrokerLifecycleManager.scala,417,1465,1,False,False,False,False,0.0,0.0,0.0,0.0
L007-Q3,core/src/main/scala/kafka/server/BrokerLifecycleManager.scala:417,core/src/main/scala/kafka/server/BrokerLifecycleManager.scala,417,2,2,True,True,True,True,0.5,0.5,0.5,0.5
L008-Q1,core/src/main/scala/kafka/server/AbstractFetcherThread.scala:456,core/src/main/scala/kafka/server/AbstractFetcherThread.scala,456,12,3,False,False,True,True,0.0,0.0,0.08333333333333333,0.08333333333333333
L008-Q2,core/src/main/scala/kafka/server/AbstractFetcherThread.scala:456,core/src/main/scala/kafka/server/AbstractFetcherThread.scala,456,3,3,True,True,True,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
L008-Q3,core/src/main/scala/kafka/server/AbstractFetcherThread.scala:456,core/src/main/scala/kafka/server/AbstractFetcherThread.scala,456,96,1,False,False,False,False,0.0,0.0,0.0,0.0
L009-Q1,metadata/src/main/java/org/apache/kafka/controller/PeriodicTaskControlManager.java:178,metadata/src/main/java/org/apache/kafka/controller/PeriodicTaskControlManager.java,178,5,3,True,True,True,True,0.2,0.2,0.2,0.2
L009-Q2,metadata/src/main/java/org/apache/kafka/controller/PeriodicTaskControlManager.java:178,metadata/src/main/java/org/apache/kafka/controller/PeriodicTaskControlManager.java,178,579,1,False,False,False,False,0.0,0.0,0.0,0.0
L009-Q3,metadata/src/main/java/org/apache/kafka/controller/PeriodicTaskControlManager.java:178,metadata/src/main/java/org/apache/kafka/controller/PeriodicTaskControlManager.java,178,4,4,True,True,True,True,0.25,0.25,0.25,0.25
L010-Q1,core/src/main/scala/kafka/server/BrokerLifecycleManager.scala:471,core/src/main/scala/kafka/server/BrokerLifecycleManager.scala,471,4,2,True,True,True,True,0.25,0.25,0.25,0.25
L010-Q2,core/src/main/scala/kafka/server/BrokerLifecycleManager.scala:471,core/src/main/scala/kafka/server/BrokerLifecycleManager.scala,471,559,1,False,False,False,False,0.0,0.0,0.0,0.0
L010-Q3,core/src/main/scala/kafka/server/BrokerLifecycleManager.scala:471,core/src/main/scala/kafka/server/BrokerLifecycleManager.scala,471,3,3,True,True,True,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
L011-Q1,core/src/main/scala/kafka/server/ReplicaManager.scala:1317,core/src/main/scala/kafka/server/ReplicaManager.scala,1317,1342,1,False,False,False,False,0.0,0.0,0.0,0.0
L011-Q2,core/src/main/scala/kafka/server/ReplicaManager.scala:1317,core/src/main/scala/kafka/server/ReplicaManager.scala,1317,973,1,False,False,False,False,0.0,0.0,0.0,0.0
L011-Q3,core/src/main/scala/kafka/server/ReplicaManager.scala:1317,core/src/main/scala/kafka/server/ReplicaManager.scala,1317,15,3,False,False,True,True,0.0,0.0,0.06666666666666667,0.06666666666666667
L012-Q1,metadata/src/main/java/org/apache/kafka/controller/BrokerHeartbeatManager.java:408,metadata/src/main/java/org/apache/kafka/controller/BrokerHeartbeatManager.java,408,784,2,False,False,False,False,0.0,0.0,0.0,0.0
L012-Q2,metadata/src/main/java/org/apache/kafka/controller/BrokerHeartbeatManager.java:408,metadata/src/main/java/org/apache/kafka/controller/BrokerHeartbeatManager.java,408,116,2,False,False,False,False,0.0,0.0,0.0,0.0
L012-Q3,metadata/src/main/java/org/apache/kafka/controller/BrokerHeartbeatManager.java:408,metadata/src/main/java/org/apache/kafka/controller/BrokerHeartbeatManager.java,408,6,4,False,True,True,True,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
L013-Q1,core/src/main/scala/kafka/network/SocketServer.scala:931,core/src/main/scala/kafka/network/SocketServer.scala,931,3,2,True,True,True,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
L013-Q2,core/src/main/scala/kafka/network/SocketServer.scala:931,core/src/main/scala/kafka/network/SocketServer.scala,931,6,1,False,True,True,True,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
L013-Q3,core/src/main/scala/kafka/network/SocketServer.scala:931,core/src/main/scala/kafka/network/SocketServer.scala,931,3,1,True,True,True,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
L014-Q1,core/src/main/scala/kafka/network/SocketServer.scala:994,core/src/main/scala/kafka/network/SocketServer.scala,994,1,2,True,True,True,True,1.0,1.0,1.0,1.0
L014-Q2,core/src/main/scala/kafka/network/SocketServer.scala:994,core/src/main/scala/kafka/network/SocketServer.scala,994,5,1,True,True,True,True,0.2,0.2,0.2,0.2
L014-Q3,core/src/main/scala/kafka/network/SocketServer.scala:994,core/src/main/scala/kafka/network/SocketServer.scala,994,1,3,True,True,True,True,1.0,1.0,1.0,1.0
L015-Q1,core/src/main/scala/kafka/server/ControllerRegistrationManager.scala:205,core/src/main/scala/kafka/server/ControllerRegistrationManager.scala,205,4,3,True,True,True,True,0.25,0.25,0.25,0.25
L015-Q2,core/src/main/scala/kafka/server/ControllerRegistrationManager.scala:205,core/src/main/scala/kafka/server/ControllerRegistrationManager.scala,205,3,2,True,True,True,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
L015-Q3,core/src/main/scala/kafka/server/ControllerRegistrationManager.scala:205,core/src/main/scala/kafka/server/ControllerRegistrationManager.scala,205,2,2,True,True,True,True,0.5,0.5,0.5,0.5
L016-Q1,core/src/main/scala/kafka/server/ControllerApis.scala:153,core/src/main/scala/kafka/server/ControllerApis.scala,153,172,3,False,False,False,False,0.0,0.0,0.0,0.0
L016-Q2,core/src/main/scala/kafka/server/ControllerApis.scala:153,core/src/main/scala/kafka/server/ControllerApis.scala,153,87,2,False,False,False,False,0.0,0.0,0.0,0.0
L016-Q3,core/src/main/scala/kafka/server/ControllerApis.scala:153,core/src/main/scala/kafka/server/ControllerApis.scala,153,112,3,False,False,False,False,0.0,0.0,0.0,0.0
L017-Q1,core/src/main/scala/kafka/server/KafkaApis.scala:1252,core/src/main/scala/kafka/server/KafkaApis.scala,1252,89,3,False,False,False,False,0.0,0.0,0.0,0.0
L017-Q2,core/src/main/scala/kafka/server/KafkaApis.scala:1252,core/src/main/scala/kafka/server/KafkaApis.scala,1252,209,1,False,False,False,False,0.0,0.0,0.0,0.0
L017-Q3,core/src/main/scala/kafka/server/KafkaApis.scala:1252,core/src/main/scala/kafka/server/KafkaApis.scala,1252,4,3,True,True,True,True,0.25,0.25,0.25,0.25
L018-Q1,core/src/main/scala/kafka/network/SocketServer.scala:537,core/src/main/scala/kafka/network/SocketServer.scala,537,9,3,False,True,True,True,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
L018-Q2,core/src/main/scala/kafka/network/SocketServer.scala:537,core/src/main/scala/kafka/network/SocketServer.scala,537,328,1,False,False,False,False,0.0,0.0,0.0,0.0
L018-Q3,core/src/main/scala/kafka/network/SocketServer.scala:537,core/src/main/scala/kafka/network/SocketServer.scala,537,8,2,False,True,True,True,0.0,0.125,0.125,0.125
L019-Q1,core/src/main/scala/kafka/server/FetchSession.scala:863,core/src/main/scala/kafka/server/FetchSession.scala,863,7,2,False,True,True,True,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
L019-Q2,core/src/main/scala/kafka/server/FetchSession.scala:863,core/src/main/scala/kafka/server/FetchSession.scala,863,11,2,False,False,True,True,0.0,0.0,0.09090909090909091,0.09090909090909091
L019-Q3,core/src/main/scala/kafka/server/FetchSession.scala:863,core/src/main/scala/kafka/server/FetchSession.scala,863,1519,1,False,False,False,False,0.0,0.0,0.0,0.0
L020-Q1,core/src/main/scala/kafka/server/KafkaApis.scala:376,core/src/main/scala/kafka/server/KafkaApis.scala,376,3,4,True,True,True,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
L020-Q2,core/src/main/scala/kafka/server/KafkaApis.scala:376,core/src/main/scala/kafka/server/KafkaApis.scala,376,11,2,False,False,True,True,0.0,0.0,0.09090909090909091,0.09090909090909091
L020-Q3,core/src/main/scala/kafka/server/KafkaApis.scala:376,core/src/main/scala/kafka/server/KafkaApis.scala,376,4,4,True,True,True,True,0.25,0.25,0.25,0.25
L021-Q1,core/src/main/scala/kafka/network/SocketServer.scala:1033,core/src/main/scala/kafka/network/SocketServer.scala,1033,31,2,False,False,False,False,0.0,0.0,0.0,0.0
L021-Q2,core/src/main/scala/kafka/network/SocketServer.scala:1033,core/src/main/scala/kafka/network/SocketServer.scala,1033,61,3,False,False,False,False,0.0,0.0,0.0,0.0
L021-Q3,core/src/main/scala/kafka/network/SocketServer.scala:1033,core/src/main/scala/kafka/network/SocketServer.scala,1033,3,1,True,True,True,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
L022-Q1,core/src/main/scala/kafka/server/AbstractFetcherThread.scala:711,core/src/main/scala/kafka/server/AbstractFetcherThread.scala,711,12,5,False,False,True,True,0.0,0.0,0.08333333333333333,0.08333333333333333
L022-Q2,core/src/main/scala/kafka/server/AbstractFetcherThread.scala:711,core/src/main/scala/kafka/server/AbstractFetcherThread.scala,711,6,1,False,True,True,True,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
L022-Q3,core/src/main/scala/kafka/server/AbstractFetcherThread.scala:711,core/src/main/scala/kafka/server/AbstractFetcherThread.scala,711,10,4,False,True,True,True,0.0,0.1,0.1,0.1
L023-Q1,core/src/main/scala/kafka/server/BrokerLifecycleManager.scala:332,core/src/main/scala/kafka/server/BrokerLifecycleManager.scala,332,4,3,True,True,True,True,0.25,0.25,0.25,0.25
L023-Q2,core/src/main/scala/kafka/server/BrokerLifecycleManager.scala:332,core/src/main/scala/kafka/server/BrokerLifecycleManager.scala,332,1484,1,False,False,False,False,0.0,0.0,0.0,0.0
L023-Q3,core/src/main/scala/kafka/server/BrokerLifecycleManager.scala:332,core/src/main/scala/kafka/server/BrokerLifecycleManager.scala,332,1400,2,False,False,False,False,0.0,0.0,0.0,0.0
L024-Q1,core/src/main/scala/kafka/server/AbstractFetcherThread.scala:450,core/src/main/scala/kafka/server/AbstractFetcherThread.scala,450,22,5,False,False,False,False,0.0,0.0,0.0,0.0
L024-Q2,core/src/main/scala/kafka/server/AbstractFetcherThread.scala:450,core/src/main/scala/kafka/server/AbstractFetcherThread.scala,450,649,1,False,False,False,False,0.0,0.0,0.0,0.0
L024-Q3,core/src/main/scala/kafka/server/AbstractFetcherThread.scala:450,core/src/main/scala/kafka/server/AbstractFetcherThread.scala,450,29,4,False,False,False,False,0.0,0.0,0.0,0.0
L025-Q1,core/src/main/scala/kafka/network/RequestChannel.scala:503,core/src/main/scala/kafka/network/RequestChannel.scala,503,3,3,True,True,True,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
L025-Q2,core/src/main/scala/kafka/network/RequestChannel.scala:503,core/src/main/scala/kafka/network/RequestChannel.scala,503,4,3,True,True,True,True,0.25,0.25,0.25,0.25
L025-Q3,core/src/main/scala/kafka/network/RequestChannel.scala:503,core/src/main/scala/kafka/network/RequestChannel.scala,503,10,3,False,True,True,True,0.0,0.1,0.1,0.1
L026-Q1,core/src/main/scala/kafka/server/ReplicaManager.scala:2508,core/src/main/scala/kafka/server/ReplicaManager.scala,2508,35,2,False,False,False,False,0.0,0.0,0.0,0.0
