query_id,canonical_target,gold_file,gold_line,gold_rank,num_query_entities,hit@5,hit@10,hit@15,hit@20,rr@5,rr@10,rr@15,rr@20
L001-Q1,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java:2055,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,2055,579,1,False,False,False,False,0.0,0.0,0.0,0.0
L001-Q2,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java:2055,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,2055,744,1,False,False,False,False,0.0,0.0,0.0,0.0
L001-Q3,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java:2055,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,2055,503,4,False,False,False,False,0.0,0.0,0.0,0.0
L002-Q1,core/src/main/scala/kafka/server/ReplicaManager.scala:2392,core/src/main/scala/kafka/server/ReplicaManager.scala,2392,1,2,True,True,True,True,1.0,1.0,1.0,1.0
L002-Q2,core/src/main/scala/kafka/server/ReplicaManager.scala:2392,core/src/main/scala/kafka/server/ReplicaManager.scala,2392,1,2,True,True,True,True,1.0,1.0,1.0,1.0
L002-Q3,core/src/main/scala/kafka/server/ReplicaManager.scala:2392,core/src/main/scala/kafka/server/ReplicaManager.scala,2392,38,4,False,False,False,False,0.0,0.0,0.0,0.0
L003-Q1,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java:1266,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,1266,90,5,False,False,False,False,0.0,0.0,0.0,0.0
L003-Q2,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java:1266,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,1266,4,4,True,True,True,True,0.25,0.25,0.25,0.25
L003-Q3,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java:1266,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,1266,46,3,False,False,False,False,0.0,0.0,0.0,0.0
L004-Q1,metadata/src/main/java/org/apache/kafka/controller/BrokerHeartbeatManager.java:455,metadata/src/main/java/org/apache/kafka/controller/BrokerHeartbeatManager.java,455,26,3,False,False,False,False,0.0,0.0,0.0,0.0
L004-Q2,metadata/src/main/java/org/apache/kafka/controller/BrokerHeartbeatManager.java:455,metadata/src/main/java/org/apache/kafka/controller/BrokerHeartbeatManager.java,455,15,1,False,False,True,True,0.0,0.0,0.06666666666666667,0.06666666666666667
L004-Q3,metadata/src/main/java/org/apache/kafka/controller/BrokerHeartbeatManager.java:455,metadata/src/main/java/org/apache/kafka/controller/BrokerHeartbeatManager.java,455,15,1,False,False,True,True,0.0,0.0,0.06666666666666667,0.06666666666666667
L005-Q1,core/src/main/scala/kafka/server/ReplicaManager.scala:1407,core/src/main/scala/kafka/server/ReplicaManager.scala,1407,77,2,False,False,False,False,0.0,0.0,0.0,0.0
L005-Q2,core/src/main/scala/kafka/server/ReplicaManager.scala:1407,core/src/main/scala/kafka/server/ReplicaManager.scala,1407,211,1,False,False,False,False,0.0,0.0,0.0,0.0
