method,k,queries,hits,recall,mrr,target_balanced_recall,target_balanced_mrr,unique_target_count
Vector-only,5,315,271,0.8603174603174604,0.7416931216931216,0.867660656495608,0.748928956695947,103
Vector + Cross-Encoder,5,315,271,0.8603174603174604,0.7084656084656085,0.867660656495608,0.7144976113422715,103
AST-KG static,5,315,263,0.834920634920635,0.6874603174603175,0.8428109107720758,0.6932963476652797,103
AST-KG staged,5,315,264,0.8380952380952381,0.6941798941798941,0.8441978733240869,0.6995299738018185,103
ColBERTv2-only,5,315,210,0.6666666666666666,0.5375661375661376,0.6712898751733702,0.5414162428725535,103
HippoRAG (ColBERTv2),5,315,60,0.19047619047619047,0.09894179894179894,0.1941747572815534,0.10086299892125135,103
Vector-only,10,315,286,0.9079365079365079,0.7477500629881582,0.9116967175219601,0.7544549750860431,103
Vector + Cross-Encoder,10,315,286,0.9079365079365079,0.7054106827916352,0.9116967175219601,0.7110755197440357,103
AST-KG static,10,315,284,0.9015873015873016,0.6965444696397077,0.9107720758206195,0.7026917347305697,103
AST-KG staged,10,315,286,0.9079365079365079,0.7035336356764929,0.9135460009246417,0.7093469534523626,103
ColBERTv2-only,10,315,236,0.7492063492063492,0.548114134542706,0.7554322699953768,0.5521690553243952,103
HippoRAG (ColBERTv2),10,315,77,0.24444444444444444,0.10577475434618291,0.255663430420712,0.10847588226229002,103
Vector-only,15,315,296,0.9396825396825397,0.7502932869599536,0.9422098936662043,0.7568794653746109,103
Vector + Cross-Encoder,15,315,296,0.9396825396825397,0.7026214085737895,0.9422098936662043,0.7083349357274461,103
AST-KG static,15,315,291,0.9238095238095239,0.7017041864660912,0.9334257975034673,0.7079516402331937,103
AST-KG staged,15,315,294,0.9333333333333333,0.701230859088002,0.9375866851595007,0.7070596378502064,103
ColBERTv2-only,15,315,248,0.7873015873015873,0.5510891489462918,0.7942672214516875,0.5552018369979534,103
HippoRAG (ColBERTv2),15,315,86,0.273015873015873,0.10790706647849505,0.2829403606102635,0.11050734594423915,103
Vector-only,20,315,301,0.9555555555555556,0.7511943140374513,0.9546925566343042,0.7575899437407146,103
Vector + Cross-Encoder,20,315,301,0.9555555555555556,0.6974876669679855,0.9546925566343042,0.7030149988790164,103
AST-KG static,20,315,298,0.946031746031746,0.7045628855012609,0.9542302357836339,0.7105576340870459,103
AST-KG staged,20,315,301,0.9555555555555556,0.6971882281723061,0.9546925566343042,0.7027097457377899,103
ColBERTv2-only,20,315,253,0.8031746031746032,0.5519974381879144,0.8085991678224689,0.5560121827112118,103
HippoRAG (ColBERTv2),20,315,97,0.30793650793650795,0.10986158512806013,0.3136846971798428,0.11224432331055614,103
