subset,method,query_count,hits_at_20,recall_at_20,mrr_at_20
v2,Vector-only,150,142,0.9466666666666667,0.738812458783047
v2,Vector+CrossEncoder,150,142,0.9466666666666667,0.7177299672005555
v2,AST-KG+CrossEncoder(static-K),150,145,0.9666666666666667,0.7182184694390576
v2,AST-KG+CrossEncoder+StagedConfidence,150,143,0.9533333333333334,0.7177670042375925
v3,Vector-only,144,138,0.9583333333333334,0.7817580085809253
v3,Vector+CrossEncoder,144,138,0.9583333333333334,0.6852128766844324
v3,AST-KG+CrossEncoder(static-K),144,137,0.9513888888888888,0.701420406368323
v3,AST-KG+CrossEncoder+StagedConfidence,144,137,0.9513888888888888,0.6845192740719701
JIRA,Vector-only,21,21,1.0,0.6300565175565176
JIRA,Vector+CrossEncoder,21,21,1.0,0.6370697986797058
JIRA,AST-KG+CrossEncoder(static-K),21,16,0.7619047619047619,0.6285714285714286
JIRA,AST-KG+CrossEncoder+StagedConfidence,21,21,1.0,0.6370697986797058
