method,expected_file,expected_line,associated_query_count,query_hit_fraction_at_20,mean_reciprocal_rank_at_20
Vector-only,clients/src/main/java/org/apache/kafka/clients/FetchSessionHandler.java,618,7,1.0,0.24731240981240982
Vector-only,core/src/main/scala/kafka/log/LogManager.scala,228,6,1.0,1.0
Vector-only,core/src/main/scala/kafka/log/LogManager.scala,357,3,1.0,1.0
Vector-only,core/src/main/scala/kafka/log/LogManager.scala,612,3,1.0,0.6666666666666666
Vector-only,core/src/main/scala/kafka/log/LogManager.scala,689,3,1.0,1.0
Vector-only,core/src/main/scala/kafka/log/LogManager.scala,1167,3,1.0,1.0
Vector-only,core/src/main/scala/kafka/log/LogManager.scala,1488,3,1.0,0.46527777777777773
Vector-only,core/src/main/scala/kafka/network/RequestChannel.scala,503,3,1.0,1.0
Vector-only,core/src/main/scala/kafka/network/SocketServer.scala,537,3,1.0,0.5416666666666666
Vector-only,core/src/main/scala/kafka/network/SocketServer.scala,548,3,1.0,1.0
Vector-only,core/src/main/scala/kafka/network/SocketServer.scala,691,3,1.0,1.0
Vector-only,core/src/main/scala/kafka/network/SocketServer.scala,931,3,1.0,0.7777777777777778
Vector-only,core/src/main/scala/kafka/network/SocketServer.scala,945,3,1.0,1.0
Vector-only,core/src/main/scala/kafka/network/SocketServer.scala,994,3,1.0,0.8333333333333334
Vector-only,core/src/main/scala/kafka/network/SocketServer.scala,1033,3,1.0,1.0
Vector-only,core/src/main/scala/kafka/server/AbstractFetcherManager.scala,203,1,1.0,1.0
Vector-only,core/src/main/scala/kafka/server/AbstractFetcherThread.scala,406,3,1.0,1.0
Vector-only,core/src/main/scala/kafka/server/AbstractFetcherThread.scala,415,3,1.0,0.8333333333333334
Vector-only,core/src/main/scala/kafka/server/AbstractFetcherThread.scala,444,3,1.0,0.1416666666666667
Vector-only,core/src/main/scala/kafka/server/AbstractFetcherThread.scala,450,3,0.3333333333333333,0.05555555555555555
Vector-only,core/src/main/scala/kafka/server/AbstractFetcherThread.scala,456,3,1.0,0.7777777777777778
Vector-only,core/src/main/scala/kafka/server/AbstractFetcherThread.scala,501,3,1.0,0.7777777777777778
Vector-only,core/src/main/scala/kafka/server/AbstractFetcherThread.scala,677,3,1.0,0.6833333333333332
Vector-only,core/src/main/scala/kafka/server/AbstractFetcherThread.scala,711,3,1.0,0.7142857142857143
Vector-only,core/src/main/scala/kafka/server/AlterPartitionManager.scala,144,3,1.0,1.0
Vector-only,core/src/main/scala/kafka/server/AlterPartitionManager.scala,247,3,1.0,1.0
Vector-only,core/src/main/scala/kafka/server/AutoTopicCreationManager.scala,267,3,1.0,0.8333333333333334
Vector-only,core/src/main/scala/kafka/server/AutoTopicCreationManager.scala,272,3,1.0,0.6666666666666666
Vector-only,core/src/main/scala/kafka/server/AutoTopicCreationManager.scala,275,3,1.0,0.3611111111111111
Vector-only,core/src/main/scala/kafka/server/AutoTopicCreationManager.scala,311,3,1.0,0.4423076923076923
Vector-only,core/src/main/scala/kafka/server/AutoTopicCreationManager.scala,447,3,1.0,1.0
Vector-only,core/src/main/scala/kafka/server/BrokerLifecycleManager.scala,332,3,1.0,1.0
Vector-only,core/src/main/scala/kafka/server/BrokerLifecycleManager.scala,417,3,1.0,1.0
Vector-only,core/src/main/scala/kafka/server/BrokerLifecycleManager.scala,421,3,1.0,0.7777777777777778
Vector-only,core/src/main/scala/kafka/server/BrokerLifecycleManager.scala,471,3,1.0,1.0
Vector-only,core/src/main/scala/kafka/server/BrokerLifecycleManager.scala,493,3,1.0,0.7777777777777778
Vector-only,core/src/main/scala/kafka/server/BrokerLifecycleManager.scala,496,3,1.0,1.0
Vector-only,core/src/main/scala/kafka/server/BrokerLifecycleManager.scala,550,3,1.0,1.0
Vector-only,core/src/main/scala/kafka/server/BrokerLifecycleManager.scala,554,3,1.0,0.75
